Datetime,Temp,Humidity,Press,WindSpd,WindDir,Rain21:29:17 20/10,REBOOT
19:47:27 22/10,17.90,43.00,1022.20,6.40,WSW,0.00
19:47:30 22/10,17.90,43.00,1022.23,5.60,SW,0.00
19:47:33 22/10,17.90,43.00,1022.17,4.80,SW,0.00
19:47:37 22/10,18.20,44.00,1022.22,3.20,WSW,0.00
19:47:40 22/10,17.90,43.00,1022.21,3.20,WSW,0.00
19:47:43 22/10,17.90,43.00,1022.20,3.20,WSW,0.00
19:47:46 22/10,17.90,43.00,1022.19,4.00,WSW,0.00
19:47:49 22/10,17.90,43.00,1022.12,3.20,SW,0.00
19:47:52 22/10,17.90,43.00,1022.20,3.20,SW,0.00
19:47:55 22/10,17.80,43.00,1022.22,3.20,SW,0.00
19:47:58 22/10,17.90,43.00,1022.20,3.20,WSW,0.00
19:48:01 22/10,18.00,44.00,1022.11,2.40,SW,0.00
19:48:04 22/10,17.90,43.00,1022.17,1.60,SW,0.00
19:48:07 22/10,17.90,43.00,1022.18,1.60,WSW,0.00
19:48:11 22/10,17.90,43.00,1022.21,0.00,WSW,0.00
19:48:14 22/10,17.90,43.00,1022.13,0.00,W,0.00
19:48:17 22/10,17.90,43.00,1022.17,0.80,W,0.00
19:48:20 22/10,17.90,43.00,1022.19,0.00,W,0.00
19:48:23 22/10,17.90,43.00,1022.14,0.00,W,0.00
19:48:26 22/10,17.90,43.00,1022.13,0.00,W,0.00
19:48:29 22/10,17.90,43.00,1022.12,0.80,W,0.00
19:48:32 22/10,17.90,43.00,1022.12,0.00,W,0.00
19:48:35 22/10,17.90,43.00,1022.16,0.00,W,0.00
19:48:38 22/10,18.00,44.00,1022.19,0.00,W,0.00
19:48:42 22/10,17.90,43.00,1022.23,0.80,W,0.00
19:48:45 22/10,17.90,43.00,1022.13,0.00,W,0.00
19:48:48 22/10,17.90,43.00,1022.19,0.00,W,0.00
19:48:51 22/10,17.90,43.00,1022.20,0.80,W,0.00
19:48:54 22/10,17.90,43.00,1022.19,0.00,W,0.00
19:48:57 22/10,17.90,43.00,1022.16,0.00,W,0.00
19:49:00 22/10,17.90,43.00,1022.13,0.80,W,0.00
19:49:03 22/10,17.90,43.00,1022.14,0.00,W,0.00
19:49:06 22/10,18.00,44.00,1022.18,0.00,W,0.00
19:49:09 22/10,17.90,43.00,1022.21,0.00,W,0.00
19:49:12 22/10,17.90,43.00,1022.15,0.00,W,0.00
19:49:16 22/10,17.90,43.00,1022.19,0.00,W,0.00
19:49:19 22/10,17.90,43.00,1022.16,0.00,W,0.00
19:49:22 22/10,17.90,43.00,1022.20,0.00,W,0.00
19:49:25 22/10,17.90,43.00,1022.12,0.00,W,0.00
19:49:28 22/10,17.90,43.00,1022.18,0.00,W,0.00
19:49:31 22/10,17.90,43.00,1022.16,0.00,W,0.00
19:50:15 22/10,18.00,45.00,1022.14,0.00,W,0.00
19:50:18 22/10,17.90,43.00,1022.13,1.60,WSW,0.00
19:50:21 22/10,18.00,45.00,1022.13,4.00,WSW,0.00
19:50:25 22/10,18.10,45.00,1022.17,4.80,WSW,0.00
19:50:28 22/10,17.90,44.00,1022.15,4.80,SW,0.00
19:50:31 22/10,18.00,45.00,1022.15,4.80,WSW,0.00
19:50:34 22/10,17.90,43.00,1022.13,4.00,WSW,0.00
19:50:37 22/10,17.90,44.00,1022.13,4.00,SW,0.00
19:50:40 22/10,18.00,44.00,1022.20,3.20,WSW,0.00
19:50:43 22/10,17.90,43.00,1022.14,2.40,SW,0.00
19:50:46 22/10,18.00,45.00,1022.18,2.40,WSW,0.00
19:50:49 22/10,17.90,43.00,1022.16,1.60,SW,0.00
20:08:10 22/10,18.00,44.00,1022.55,0.00,W,0.00
